Year,Subway,NYCT Bus,MTA Bus,Metro North,LIRR
2008,1623881368,746813556,121027750,81739667,87229679
2009,1579866600,726471592,119992505,85733300,85314822
2010,1604198019,694829261,119733630,79067578,82122104
2011,1640327810,665281145,118281292,81670880,81926287
2012,1654157543,662247180,119731634,83618886,80976682
2013,1707524763,677536911,124951185,86274509,83471105
